driverId,code,forename,surname,nationality,dateOfBirth
1,REN,Kasper,Renn,Danish,1994-03-12
2,VID,Mateo,Vidal,Spanish,1996-08-02
3,IMA,Luca,Imai,Japanese,2003-11-30
4,MAR,Elodie,Marchand,French,1995-05-19
5,OKE,Tobias,Okereke,Nigerian,1997-01-25
6,LND,Willem,Lindqvist,Swedish,1993-09-08
7,CAV,Bruno,Cavallaro,Italian,1998-04-14
8,DUF,Rhys,Duffy,Irish,1999-12-01
9,SOL,Ana,Solano,Mexican,1997-07-22
10,KOV,Petr,Kovalenko,Ukrainian,1994-10-17
11,ASH,Daniel,Ashworth,British,1992-02-09
12,TAN,Wei,Tan,Singaporean,2000-06-28
13,BER,Nikolas,Berg,Norwegian,1995-11-11
14,FER,Joao,Ferreira,Brazilian,1998-03-03
15,HAV,Emil,Havel,Czech,1996-09-15
16,PRK,Minjun,Park,South Korean,2001-01-07
17,GRA,Sebastian,Gray,Australian,1993-04-26
18,ROU,Antoine,Roux,Belgian,1997-12-13
19,MOR,Diego,Morales,Argentine,1999-08-30
20,STE,Lukas,Steiner,Austrian,1995-06-05
21,HOL,Casper,Holm,Dutch,1992-10-21
22,NAK,Ren,Nakagawa,Japanese,2002-05-16
23,OSU,Kwame,Osei,Ghanaian,2000-02-18
24,VAS,Ilya,Vasilev,Bulgarian,1998-07-09
